Quiz Title (English)
Civil Disobedience Movement: Central Leadership & Dictators

Quiz Title (Hindi)
सविनय अवज्ञा आंदोलन: केंद्रीय नेतृत्व और डिक्टेटर (अधिनायक)

Quiz Description (English)
Evaluate your knowledge of the Civil Disobedience Movement in Chhattisgarh, focusing on the Salt Satyagraha, the 'Five Pandavas', the Dictators of Raipur, and key localized protests like the Vanar Sena and Picketing.

Quiz Description (Hindi)
छत्तीसगढ़ में सविनय अवज्ञा आंदोलन पर अपने ज्ञान का मूल्यांकन करें। यह क्विज़ नमक सत्याग्रह, 'पांच पांडवों', रायपुर के डिक्टेटरों (अधिनायकों), और वानर सेना व धरना जैसे प्रमुख स्थानीय विरोध प्रदर्शनों पर केंद्रित है।

"Q(EN)","Q(HI)","OptA(EN)","OptA(HI)","OptB(EN)","OptB(HI)","OptC(EN)","OptC(HI)","OptD(EN)","OptD(HI)","Correct(1-4)","Exp(EN)","Exp(HI)"
"To systematically operate the Civil Disobedience Movement in Raipur, a five-member committee was formed, known as the 'Five Pandavas of Chhattisgarh'. Who among the following was NOT a part of this group?","रायपुर में सविनय अवज्ञा आंदोलन को व्यवस्थित रूप से संचालित करने के लिए पांच सदस्यीय समिति बनाई गई थी, जिसे 'छत्तीसगढ़ के पांच पांडव' कहा जाता था। निम्नलिखित में से कौन इस समूह का हिस्सा नहीं था?","Vamanrao Lakhe","वामनराव लाखे","Pt. Ravishankar Shukla","पं. रविशंकर शुक्ल","Thakur Pyarelal Singh","ठाकुर प्यारेलाल सिंह","Shivdas Daga","शिवदास डागा",2,"Pt. Ravishankar Shukla was not one of the Five Pandavas. The Pandavas were Vamanrao Lakhe, Laxmi Narayan Das, Thakur Pyarelal, Maulana Abdul Rauf, and Shivdas Daga.","पं. रविशंकर शुक्ल पांच पांडवों में से नहीं थे। पांच पांडव थे: वामनराव लाखे, लक्ष्मी नारायण दास, ठाकुर प्यारेलाल, मौलाना अब्दुल रऊफ और शिवदास डागा।"
"Match the 'Five Pandavas of Chhattisgarh' with their corresponding names during the Civil Disobedience Movement:\n\nList-I\n(a) Yudhishthir\n(b) Bheem\n(c) Arjun\n(d) Sahdev\n\nList-II\n(i) Thakur Pyarelal Singh\n(ii) Vamanrao Lakhe\n(iii) Shivdas Daga\n(iv) Mahant Laxmi Narayan Das\n\nCodes:","सविनय अवज्ञा आंदोलन के दौरान 'छत्तीसगढ़ के पांच पांडवों' को उनके संबंधित नामों के साथ सुमेलित कीजिए:\n\nसूची-I\n(a) युधिष्ठिर\n(b) भीम\n(c) अर्जुन\n(d) सहदेव\n\nसूची-II\n(i) ठाकुर प्यारेलाल सिंह\n(ii) वामनराव लाखे\n(iii) शिवदास डागा\n(iv) महंत लक्ष्मी नारायण दास\n\nकूट:","a-ii, b-iv, c-i, d-iii","a-ii, b-iv, c-i, d-iii","a-ii, b-i, c-iv, d-iii","a-ii, b-i, c-iv, d-iii","a-iv, b-ii, c-iii, d-i","a-iv, b-ii, c-iii, d-i","a-iii, b-iv, c-i, d-ii","a-iii, b-iv, c-i, d-ii",1,"Yudhishthir was Vamanrao Lakhe, Bheem was Laxmi Narayan Das, Arjun was Thakur Pyarelal Singh, and Sahdev was Shivdas Daga.","युधिष्ठिर वामनराव लाखे थे, भीम लक्ष्मी नारायण दास थे, अर्जुन ठाकुर प्यारेलाल सिंह थे, और सहदेव शिवदास डागा थे।"
"Which prominent leader of Chhattisgarh was affectionately given the title of 'Nakul' among the Five Pandavas during the Civil Disobedience Movement?","सविनय अवज्ञा आंदोलन के दौरान पांच पांडवों में से किस प्रमुख नेता को 'नकुल' की उपाधि दी गई थी?","Qazi Shamsher Khan","काजी शमशेर खान","Maulana Abdul Rauf","मौलाना अब्दुल रऊफ","Sheikh Muntajimuddin","शेख मुंतजिमुद्दीन","Maulana Qutubuddin","मौलाना कुतुबुद्दीन",2,"Maulana Abdul Rauf was named 'Nakul' in the group of the Five Pandavas formed to lead the Civil Disobedience Movement in Raipur.","रायपुर में सविनय अवज्ञा आंदोलन का नेतृत्व करने के लिए बनाए गए पांच पांडवों के समूह में मौलाना अब्दुल रऊफ को 'नकुल' नाम दिया गया था।"
"Smt. Radhabai, the female dictator of Raipur, earned the title of 'Nagar Dai' (Nanny of the City) due to her dedicated service in the Raipur Municipality. In which year did she serve in this capacity?","रायपुर की महिला डिक्टेटर श्रीमती राधाबाई ने रायपुर नगर निगम में अपनी समर्पित सेवा के कारण 'नगर दाई' की उपाधि अर्जित की। उन्होंने किस वर्ष इस पद पर कार्य किया था?","1918","1918","1920","1920","1922","1922","1930","1930",1,"Smt. Radhabai worked as a Nanny (Dai) in the Raipur Municipality in the year 1918, which earned her the popular title of 'Nagar Dai'.","श्रीमती राधाबाई ने वर्ष 1918 में रायपुर नगर निगम में एक दाई (Nanny) के रूप में कार्य किया था, जिससे उन्हें 'नगर दाई' की लोकप्रिय उपाधि मिली।"
"On which exact date was Smt. Radhabai, the fourth dictator, arrested by the British police for successfully leading the Civil Disobedience Movement in Raipur?","रायपुर में सविनय अवज्ञा आंदोलन का सफलतापूर्वक नेतृत्व करने के लिए चतुर्थ डिक्टेटर श्रीमती राधाबाई को ब्रिटिश पुलिस ने किस सटीक तिथि को गिरफ्तार किया था?","5 May 1932","5 मई 1932","13 June 1932","13 जून 1932","4 August 1932","4 अगस्त 1932","28 November 1933","28 नवंबर 1933",2,"Smt. Radhabai was arrested on 13th June 1932 along with other associates due to her active leadership as the fourth dictator in Raipur.","श्रीमती राधाबाई को रायपुर में चतुर्थ डिक्टेटर के रूप में सक्रिय नेतृत्व करने के कारण 13 जून 1932 को अन्य सहयोगियों के साथ गिरफ्तार किया गया था।"
"Consider the following individuals who were detained along with Smt. Radhabai on 13th June 1932:\n\n1. Nohri Bai\n2. Shivratan\n3. Mahant Lal Das\n4. Ketki Bai\n\nWhich of the above are correct?","13 जून 1932 को श्रीमती राधाबाई के साथ हिरासत में लिए गए निम्नलिखित व्यक्तियों पर विचार कीजिए:\n\n1. नोहरी बाई\n2. शिवरतन\n3. महंत लाल दास\n4. केतकी बाई\n\nउपरोक्त में से कौन से सही हैं?","1 and 4 only","केवल 1 और 4","2, 3 and 4 only","केवल 2, 3 और 4","1, 2 and 3 only","केवल 1, 2 और 3","1, 2, 3 and 4","1, 2, 3 और 4",3,"Nohri Bai, Shivratan, and Mahant Lal Das were detained along with Smt. Radhabai. Ketki Bai was involved in picketing at Kika Bhai's shop, not in this specific arrest.","श्रीमती राधाबाई के साथ नोहरी बाई, शिवरतन और महंत लाल दास को हिरासत में लिया गया था। केतकी बाई कीका भाई की दुकान पर धरने में शामिल थीं, इस विशिष्ट गिरफ्तारी में नहीं।"
"During the second phase of the Civil Disobedience Movement, the 'Vanar Sena' (Monkey Troops) was formed at Brahmanpara, Raipur in February 1932. Who was its founder?","सविनय अवज्ञा आंदोलन के द्वितीय चरण के दौरान, फरवरी 1932 में ब्राह्मणपारा, रायपुर में 'वानर सेना' का गठन किया गया था। इसके संस्थापक कौन थे?","Yati Yatan Lal","यति यतन लाल","Baliram Dubey (Azad)","बलीराम दुबे (आज़ाद)","Vasudev Deoras","वासुदेव देवरस","Ranveer Singh Shastri","रणवीर सिंह शास्त्री",2,"The Raipur Vanar Sena was founded by Baliram Dubey (Azad) in February 1932. Yati Yatan Lal was its organizer, and Vasudev Deoras founded the Bilaspur Vanar Sena.","रायपुर वानर सेना की स्थापना फरवरी 1932 में बलीराम दुबे (आज़ाद) ने की थी। यति यतन लाल इसके आयोजक थे, और वासुदेव देवरस ने बिलासपुर वानर सेना की स्थापना की थी।"
"While the Raipur Vanar Sena was founded by Baliram Dubey, who served as the primary organizer and guide for these young volunteers?","जबकि रायपुर वानर सेना की स्थापना बलीराम दुबे ने की थी, इन युवा स्वयंसेवकों के लिए प्राथमिक आयोजक और मार्गदर्शक के रूप में किसने कार्य किया?","Yati Yatan Lal","यति यतन लाल","Pt. Ravishankar Shukla","पं. रविशंकर शुक्ल","Mahant Laxmi Narayan Das","महंत लक्ष्मी नारायण दास","Bhagwati Charan Shukla","भगवती चरण शुक्ल",1,"Yati Yatan Lal was the core organizer and guide of the Raipur Vanar Sena, mobilizing children for the freedom struggle alongside founder Baliram Dubey.","यति यतन लाल रायपुर वानर सेना के प्रमुख आयोजक और मार्गदर्शक थे, जिन्होंने संस्थापक बलीराम दुबे के साथ बच्चों को स्वतंत्रता संग्राम के लिए लामबंद किया।"
"Unlike the Raipur Vanar Sena which was formed in 1932, the Bilaspur Vanar Sena was formed earlier in 1930 during the first phase of the Civil Disobedience Movement. Who was its founder?","रायपुर वानर सेना के विपरीत, जिसका गठन 1932 में हुआ था, बिलासपुर वानर सेना का गठन सविनय अवज्ञा आंदोलन के प्रथम चरण के दौरान 1930 में ही हो गया था। इसके संस्थापक कौन थे?","Krantikumar Bharatiya","क्रांतिकुमार भारतीय","Diwakar Karlikar","दिवाकर कार्लिकर","Vasudev Deoras","वासुदेव देवरस","Bhuvan Bhaskar Singh","भुवन भास्कर सिंह",3,"Vasudev Deoras formed the Vanar Sena in Bilaspur in 1930 during the first phase of the Civil Disobedience Movement.","वासुदेव देवरस ने सविनय अवज्ञा आंदोलन के प्रथम चरण के दौरान 1930 में बिलासपुर में वानर सेना का गठन किया था।"
"Under the dictatorship of Brahmdev Dubey (Baldev Dubey), 'Bandi Diwas' (Prisoners Day) was organized in Raipur. On which date was it celebrated?","ब्रह्मदेव दुबे (बलदेव दुबे) की डिक्टेटरशिप (अधिनायकत्व) में रायपुर में 'बंदी दिवस' का आयोजन किया गया था। यह किस तिथि को मनाया गया था?","13th June 1932","13 जून 1932","4th August 1932","4 अगस्त 1932","28th August 1932","28 अगस्त 1932","10th January 1932","10 जनवरी 1932",2,"'Bandi Diwas' (Prisoners Day) was celebrated in Raipur on 4th August 1932 under the leadership of the 7th Dictator, Brahmdev/Baldev Dubey.","7वें डिक्टेटर ब्रह्मदेव/बलदेव दुबे के नेतृत्व में 4 अगस्त 1932 को रायपुर में 'बंदी दिवस' मनाया गया था।"
"During the Civil Disobedience Movement, the 'Rashtriya Balidan Saptah' (National Sacrifice Week) was meticulously organized in the Durg district. What was its duration?","सविनय अवज्ञा आंदोलन के दौरान, दुर्ग जिले में 'राष्ट्रीय बलिदान सप्ताह' का आयोजन किया गया था। इसकी अवधि क्या थी?","6th April to 12th April 1932","6 अप्रैल से 12 अप्रैल 1932 तक","11th March to 18th March 1932","11 मार्च से 18 मार्च 1932 तक","6th April to 13th April 1930","6 अप्रैल से 13 अप्रैल 1930 तक","12th April to 18th April 1932","12 अप्रैल से 18 अप्रैल 1932 तक",1,"The Rashtriya Balidan Saptah (National Sacrifice Week) was organized in Durg district from 6th April to 12th April 1932.","दुर्ग जिले में 6 अप्रैल से 12 अप्रैल 1932 तक राष्ट्रीय बलिदान सप्ताह का आयोजन किया गया था।"
"On 13th June 1932, several prominent women including Ketki Bai, Rukmani Bai, Mantora Bai, and Mutki Bai staged a sit-in (picketing) against the sale of foreign goods in Raipur. In front of whose shop did this historic protest take place?","13 जून 1932 को केतकी बाई, रुक्मणी बाई, मंतोरा बाई और मुटकी बाई सहित कई प्रमुख महिलाओं ने रायपुर में विदेशी वस्तुओं की बिक्री के खिलाफ धरना दिया। यह ऐतिहासिक विरोध किस दुकान के सामने हुआ था?","Kika Bhai's shop","कीका भाई की दुकान","Seth Gopikishan's shop","सेठ गोपीकिशन की दुकान","Badrinath Sao's shop","बद्रीनाथ साव की दुकान","Hirala Kalar's shop","हीराला कलार की दुकान",1,"Women agitators staged a powerful sit-in (picketing) in front of Kika Bhai's shop in Raipur on 13 June 1932, protesting the sale of foreign clothes.","महिला प्रदर्शनकारियों ने विदेशी कपड़ों की बिक्री का विरोध करते हुए 13 जून 1932 को रायपुर में कीका भाई की दुकान के सामने एक शक्तिशाली धरना दिया।"
"In Bilaspur, the picketing against alcohol consumption during the Civil Disobedience Movement was initiated by staging a dharna in front of a liquor shop. Who led this protest?","बिलासपुर में, सविनय अवज्ञा आंदोलन के दौरान शराब की खपत के खिलाफ धरना एक शराब की दुकान के सामने दिया गया था। इस विरोध का नेतृत्व किसने किया?","Yadunandan Prasad Shrivastava","यदुनंदन प्रसाद श्रीवास्तव","Diwakar Karlikar","दिवाकर कार्लिकर","E. Raghavendra Rao","ई. राघवेंद्र राव","Amar Singh Sehgal","अमर सिंह सहगल",2,"In Bilaspur, the picketing against foreign goods and intoxicants was actively organized and led by Diwakar Karlikar in front of a liquor shop.","बिलासपुर में, विदेशी वस्तुओं और नशीले पदार्थों के खिलाफ धरने का आयोजन सक्रिय रूप से दिवाकर कार्लिकर के नेतृत्व में एक शराब की दुकान के सामने किया गया था।"
"The 'Don't give tax and don't take the lease document' agitation of 1930 was a major facet of the Civil Disobedience Movement. While Thakur Pyarelal Singh led it in Raipur, who led this specific campaign in Bilaspur?","1930 का 'कर मत दो और पट्टा मत लो' आंदोलन सविनय अवज्ञा आंदोलन का एक प्रमुख पहलू था। जबकि रायपुर में इसका नेतृत्व ठाकुर प्यारेलाल सिंह ने किया, बिलासपुर में इस विशिष्ट अभियान का नेतृत्व किसने किया?","Gajadhar Sao","गजाधर साव","Barrister Chhedilal","बैरिस्टर छेदीलाल","Ramgopal Tiwari","रामगोपाल तिवारी","Krantikumar Bharatiya","क्रांतिकुमार भारतीय",1,"The 'Don't give tax' (No-Tax) campaign was led by Thakur Pyarelal Singh in Raipur and Gajadhar Sao in Bilaspur during 1930.","'कर मत दो' अभियान का नेतृत्व 1930 के दौरान रायपुर में ठाकुर प्यारेलाल सिंह ने और बिलासपुर में गजाधर साव ने किया था।"
"While actively promoting the Civil Disobedience Movement across the region, Pt. Ravishankar Shukla was arrested on 28th April 1930 and sent to Jabalpur jail. Where was he arrested?","पूरे क्षेत्र में सविनय अवज्ञा आंदोलन को सक्रिय रूप से बढ़ावा देने के दौरान, 28 अप्रैल 1930 को पं. रविशंकर शुक्ल को गिरफ्तार कर जबलपुर जेल भेज दिया गया। उन्हें कहाँ गिरफ्तार किया गया था?","Dongargarh Station","डोंगरगढ़ स्टेशन","Gondia Station","गोंदिया स्टेशन","Raipur Station","रायपुर स्टेशन","Malkanpur Station","मलकानपुर स्टेशन",2,"Pt. Ravishankar Shukla was arrested at Gondia Railway Station on 28th April 1930 during the promotion of the Civil Disobedience Movement.","सविनय अवज्ञा आंदोलन के प्रचार के दौरान 28 अप्रैल 1930 को पं. रविशंकर शुक्ल को गोंदिया रेलवे स्टेशन पर गिरफ्तार कर लिया गया था।"
"To train volunteers during the Civil Disobedience Movement, a 'Satyagraha Ashram' was established in Dhamtari on 1st May 1930 under the guidance of Pt. Sundarlal Sharma. At whose residence was it set up?","सविनय अवज्ञा आंदोलन के दौरान स्वयंसेवकों को प्रशिक्षित करने के लिए, 1 मई 1930 को पं. सुंदरलाल शर्मा के मार्गदर्शन में धमतरी में एक 'सत्याग्रह आश्रम' की स्थापना की गई थी। यह किसके निवास पर स्थापित किया गया था?","Narayanrao Meghawale","नारायणराव मेघावाले","Babu Chhotelal Shrivastava","बाबू छोटेलाल श्रीवास्तव","Nathuji Jagtap","नत्थूजी जगताप","Bajirao Kridant","बाजीराव कृदंत",3,"The Satyagraha Ashram in Dhamtari (May 1930) was established at the residence of Nathuji Jagtap, operated by Pt. Sundarlal Sharma.","धमतरी में सत्याग्रह आश्रम (मई 1930) नत्थूजी जगताप के निवास पर स्थापित किया गया था, जिसका संचालन पं. सुंदरलाल शर्मा ने किया।"
"Mahatma Gandhi made his historic second visit to Chhattisgarh during the second phase of the Civil Disobedience Movement, primarily focusing on Harijan upliftment. What were the exact dates of his stay?","महात्मा गांधी ने सविनय अवज्ञा आंदोलन के द्वितीय चरण के दौरान मुख्य रूप से हरिजन उद्धार पर ध्यान केंद्रित करते हुए छत्तीसगढ़ की अपनी ऐतिहासिक दूसरी यात्रा की। उनके प्रवास की सटीक तिथियां क्या थीं?","22nd to 28th November 1933","22 से 28 नवंबर 1933","20th to 27th December 1920","20 से 27 दिसंबर 1920","24th to 28th November 1932","24 से 28 नवंबर 1932","15th to 20th November 1933","15 से 20 नवंबर 1933",1,"Gandhiji's second visit to Chhattisgarh for the Harijan upliftment program took place from 22nd November to 28th November 1933.","हरिजन उद्धार कार्यक्रम के लिए गांधीजी की दूसरी छत्तीसगढ़ यात्रा 22 नवंबर से 28 नवंबर 1933 तक हुई थी।"
