Quiz Title (English)
Renaissance, Journalism & Literature

Quiz Title (Hindi)
पुनर्जागरण, पत्रकारिता और साहित्य

Quiz Description (English)
Evaluate your knowledge of the early socio-literary awakening in Chhattisgarh with this targeted CGPSC Prelims quiz. Master the crucial details of pioneer journalists like Madhavrao Sapre, early newspapers, reading clubs, and nationalist literature that laid the foundation for the freedom struggle.

Quiz Description (Hindi)
इस लक्षित सीजीपीएससी प्रीलिम्स क्विज़ के साथ छत्तीसगढ़ में प्रारंभिक सामाजिक-साहित्यिक जागरण के अपने ज्ञान का मूल्यांकन करें। माधवराव सप्रे जैसे अग्रणी पत्रकारों, प्रारंभिक समाचार पत्रों, रीडिंग क्लबों और राष्ट्रवादी साहित्य के महत्वपूर्ण विवरणों में महारत हासिल करें जिन्होंने स्वतंत्रता संग्राम की नींव रखी।

"Q(EN)","Q(HI)","OptA(EN)","OptA(HI)","OptB(EN)","OptB(HI)","OptC(EN)","OptC(HI)","OptD(EN)","OptD(HI)","Correct(1-4)","Exp(EN)","Exp(HI)"
"The famous Hindi short story 'Tokri Bhar Mitti', widely recognized as the first original short story in modern Hindi literature, was written by:","प्रसिद्ध हिंदी लघु कथा 'टोकरी भर मिट्टी', जिसे आधुनिक हिंदी साहित्य में पहली मूल लघु कथा के रूप में व्यापक रूप से मान्यता प्राप्त है, किसके द्वारा लिखी गई थी?","Pt. Lochan Prasad Pandey","पं. लोचन प्रसाद पांडेय","Madhav Rao Sapre","माधव राव सप्रे","Padumlal Punnalal Bakshi","पदुमलाल पुन्नालाल बख्शी","Pt. Ramdayal Tiwari","पं. रामदयाल तिवारी","2","'Tokri Bhar Mitti' was written by Madhav Rao Sapre and published in the 'Chhattisgarh Mitra' magazine in 1901. It holds the prestigious historical distinction of being the first original short story in Hindi literature.","'टोकरी भर मिट्टी' माधव राव सप्रे द्वारा लिखी गई थी और 1901 में 'छत्तीसगढ़ मित्र' पत्रिका में प्रकाशित हुई थी। इसे हिंदी साहित्य की पहली मूल लघु कथा होने का प्रतिष्ठित ऐतिहासिक गौरव प्राप्त है।"
"Which prominent institution was established in 1912 in Raipur by Pt. Ravishankar Shukla with the primary objective of propagating nationalism among the regional masses?","क्षेत्रीय जनता के बीच राष्ट्रवाद का प्रचार करने के मुख्य उद्देश्य से पं. रविशंकर शुक्ल द्वारा 1912 में रायपुर में किस प्रमुख संस्था की स्थापना की गई थी?","Kanyakubj Mahasabha","कान्यकुब्ज महासभा","Chhattisgarh Bal Sabha","छत्तीसगढ़ बाल सभा","Anand Samaj Library","आनंद समाज पुस्तकालय","Satyagraha Ashram","सत्याग्रह आश्रम","1","The Kanyakubj Mahasabha was established in Raipur in 1912 by Pt. Ravishankar Shukla. While ostensibly a social organization, its core objective was to systematically propagate nationalism and political awareness.","कान्यकुब्ज महासभा की स्थापना 1912 में रायपुर में पं. रविशंकर शुक्ल द्वारा की गई थी। हालांकि यह एक सामाजिक संगठन था, लेकिन इसका मुख्य उद्देश्य व्यवस्थित रूप से राष्ट्रवाद और राजनीतिक जागरूकता का प्रचार करना था।"
"Which prominent litterateur from Khairagarh gained immense national fame for successfully editing the prestigious 'Saraswati' magazine?","खैरागढ़ के किस प्रमुख साहित्यकार ने प्रतिष्ठित 'सरस्वती' पत्रिका का सफलतापूर्वक संपादन करके अत्यधिक राष्ट्रीय ख्याति प्राप्त की?","Thakur Kedarnath","ठाकुर केदारनाथ","Mukutdhar Pandey","मुकुटधर पांडेय","Padumlal Punnalal Bakshi","पदुमलाल पुन्नालाल बख्शी","Dr. Baldev Prasad Mishra","डॉ. बलदेव प्रसाद मिश्र","3","Padumlal Punnalal Bakshi, a renowned literary figure hailing from Khairagarh, achieved national acclaim when he assumed the editorship of the highly prestigious 'Saraswati' magazine in 1920.","खैरागढ़ के एक प्रसिद्ध साहित्यकार पदुमलाल पुन्नालाल बख्शी ने 1920 में अत्यधिक प्रतिष्ठित 'सरस्वती' पत्रिका का संपादन कार्यभार संभालने पर राष्ट्रीय ख्याति प्राप्त की।"
"Consider the following statements regarding Pt. Lochan Prasad Pandey:\n\n1. He attended the historic 1906 Calcutta Session of the Indian National Congress.\n\n2. He authored the famous literary work 'Mewar Gatha' in 1914.\n\n3. He was the founder of the 'Bengal-Nagpur Railway Institute' in Bilaspur.\n\nChoose the correct answer:","पं. लोचन प्रसाद पांडेय के संबंध में निम्नलिखित कथनों पर विचार कीजिए:\n\n1. उन्होंने भारतीय राष्ट्रीय कांग्रेस के ऐतिहासिक 1906 के कलकत्ता अधिवेशन में भाग लिया था।\n\n2. उन्होंने 1914 में प्रसिद्ध साहित्यिक कृति 'मेवाड़ गाथा' की रचना की थी।\n\n3. वे बिलासपुर में 'बंगाल-नागपुर रेलवे इंस्टीट्यूट' के संस्थापक थे।\n\nसही उत्तर चुनिए:","1 and 2","1 और 2","2 and 3","2 और 3","1 and 3","1 और 3","1, 2 and 3","1, 2 और 3","1","Statements 1 and 2 are correct; Pt. LP Pandey attended the 1906 Calcutta session and wrote 'Mewar Gatha'. Statement 3 is incorrect as the Bengal-Nagpur Railway Institute was established in 1870, long before he could have founded it.","कथन 1 और 2 सही हैं; पं. एल.पी. पांडेय ने 1906 के कलकत्ता अधिवेशन में भाग लिया और 'मेवाड़ गाथा' लिखी। कथन 3 गलत है क्योंकि बंगाल-नागपुर रेलवे संस्थान की स्थापना 1870 में हुई थी, जो उनके संस्थापक होने के समय से बहुत पहले की बात है।"
"The 'Samitra Mandal', an early organization formed to support the Swadeshi movement and related social reforms, was established in 1905-06 at which of the following places?","स्वदेशी आंदोलन और संबंधित सामाजिक सुधारों का समर्थन करने के लिए गठित एक प्रारंभिक संगठन 'समित्र मंडल', 1905-06 में निम्नलिखित में से किस स्थान पर स्थापित किया गया था?","Raipur","रायपुर","Bilaspur","बिलासपुर","Rajnandgaon","राजनांदगांव","Rajim","राजिम","4","The 'Samitra Mandal' was established by Pt. Sundarlal Sharma at Rajim (Gariyaband) in 1905-06. Its headquarters operated from the residence of Sarangmani Mudliyar, acting as a nerve center for Swadeshi activities.","'समित्र मंडल' की स्थापना पं. सुंदरलाल शर्मा द्वारा 1905-06 में राजिम (गरियाबंद) में की गई थी। इसका मुख्यालय सारंगमणि मुदलियार के आवास से संचालित होता था, जो स्वदेशी गतिविधियों के लिए एक तंत्रिका केंद्र के रूप में कार्य करता था।"
"The 'Suryoday' magazine, launched in 1915, was unique in the history of Chhattisgarh's early journalism because:","1915 में शुरू की गई 'सूर्योदय' पत्रिका, छत्तीसगढ़ की प्रारंभिक पत्रकारिता के इतिहास में अद्वितीय थी क्योंकि:","It was the first magazine published exclusively in the Chhattisgarhi dialect.","यह पूरी तरह से छत्तीसगढ़ी बोली में प्रकाशित होने वाली पहली पत्रिका थी।","It was a completely handwritten magazine produced by Dr. Kanhaiyalal Sharma.","यह डॉ. कन्हैयालाल शर्मा द्वारा तैयार की गई पूरी तरह से हस्तलिखित पत्रिका थी।","It was the official mouthpiece of the Home Rule League in Bilaspur.","यह बिलासपुर में होमरूल लीग का आधिकारिक मुखपत्र था।","It was secretly printed in London and smuggled into Chhattisgarh.","इसे गुप्त रूप से लंदन में छापा गया था और तस्करी कर छत्तीसगढ़ लाया गया था।","2","The 'Suryoday' magazine of 1915 holds a unique place in Chhattisgarh's journalistic history because it was not printed; it was a completely handwritten magazine painstakingly produced by Dr. Kanhaiyalal Sharma.","1915 की 'सूर्योदय' पत्रिका का छत्तीसगढ़ के पत्रकारिता इतिहास में एक अनूठा स्थान है क्योंकि यह छपी नहीं थी; यह डॉ. कन्हैयालाल शर्मा द्वारा बड़ी मेहनत से तैयार की गई पूरी तरह से हस्तलिखित पत्रिका थी।"
"Match the literary works/articles with their respective authors:\n\nList-I\n(a) Arunodaya (1921-22)\n(b) Mewar Gatha (1914)\n(c) Bastar Bhushan (1908)\n(d) Ye Upay Tikau Nahi (1907)\n\nList-II\n(i) Thakur Pyarelal Singh\n(ii) Pt. Lochan Prasad Pandey\n(iii) Thakur Kedarnath\n(iv) Madhav Rao Sapre\n\nCodes:","साहित्यिक कृतियों/लेखों को उनके संबंधित लेखकों के साथ सुमेलित कीजिए:\n\nसूची-I\n(a) अरुणोदय (1921-22)\n(b) मेवाड़ गाथा (1914)\n(c) बस्तर भूषण (1908)\n(d) ये उपाय टिकाऊ नहीं (1907)\n\nसूची-II\n(i) ठाकुर प्यारेलाल सिंह\n(ii) पं. लोचन प्रसाद पांडेय\n(iii) ठाकुर केदारनाथ\n(iv) माधव राव सप्रे\n\nकूट:","(a)-(iv), (b)-(iii), (c)-(ii), (d)-(i)","(a)-(iv), (b)-(iii), (c)-(ii), (d)-(i)","(a)-(i), (b)-(ii), (c)-(iii), (d)-(iv)","(a)-(i), (b)-(ii), (c)-(iii), (d)-(iv)","(a)-(ii), (b)-(i), (c)-(iv), (d)-(iii)","(a)-(ii), (b)-(i), (c)-(iv), (d)-(iii)","(a)-(i), (b)-(iii), (c)-(ii), (d)-(iv)","(a)-(i), (b)-(iii), (c)-(ii), (d)-(iv)","2","'Arunodaya' was published by Thakur Pyarelal Singh; 'Mewar Gatha' was authored by Pt. Lochan Prasad Pandey; 'Bastar Bhushan' by Thakur Kedarnath; and 'Ye Upay Tikau Nahi' was a famous article by Madhav Rao Sapre.","'अरुणोदय' का प्रकाशन ठाकुर प्यारेलाल सिंह ने किया था; 'मेवाड़ गाथा' की रचना पं. लोचन प्रसाद पांडेय ने की थी; 'बस्तर भूषण' ठाकुर केदारनाथ द्वारा; और 'ये उपाय टिकाऊ नहीं' माधव राव सप्रे का एक प्रसिद्ध लेख था।"
"The 'Raipur Bar Association', an important institutional hub that fostered early political debates and intellectual awakening among lawyers, was established in which year?","वकीलों के बीच प्रारंभिक राजनीतिक बहसों और बौद्धिक जागृति को बढ़ावा देने वाला एक महत्वपूर्ण संस्थागत केंद्र, 'रायपुर बार एसोसिएशन', किस वर्ष स्थापित किया गया था?","1870","1870","1882","1882","1899","1899","1906","1906","2","The Raipur Bar Association was established in the year 1882. It played a pivotal role in the socio-political awakening of the region as lawyers often spearheaded the early nationalist discourse.","रायपुर बार एसोसिएशन की स्थापना वर्ष 1882 में हुई थी। इसने क्षेत्र के सामाजिक-राजनीतिक जागरण में महत्वपूर्ण भूमिका निभाई क्योंकि वकीलों ने अक्सर प्रारंभिक राष्ट्रवादी प्रवचन का नेतृत्व किया।"
"What was the immediate aftermath of Madhav Rao Sapre's arrest and his subsequent apology to the British government to secure release in November 1908?","नवंबर 1908 में रिहाई सुनिश्चित करने के लिए माधव राव सप्रे की गिरफ्तारी और उसके बाद ब्रिटिश सरकार से उनकी माफी का तत्काल परिणाम क्या था?","He was immediately elected as the President of the Provincial Congress.","उन्हें तुरंत प्रांतीय कांग्रेस के अध्यक्ष के रूप में चुना गया।","He relocated to London to assist Shyamji Krishna Varma.","वे श्यामजी कृष्ण वर्मा की सहायता के लिए लंदन चले गए।","It caused immense disappointment among nationalists, leading him to withdraw to an isolated life in Raipur.","इससे राष्ट्रवादियों में भारी निराशा हुई, जिससे वे रायपुर में एकांत जीवन व्यतीत करने लगे।","He launched a militant underground society called 'Abhinav Bharat Chhattisgarh'.","उन्होंने 'अभिनव भारत छत्तीसगढ़' नामक एक उग्रवादी भूमिगत समाज की शुरुआत की।","3","Sapre's apology to the British to escape sedition charges caused deep despair and a setback to the political momentum in Chhattisgarh. Overcome with regret, he retreated to an isolated, quiet life in Raipur for several years.","राजद्रोह के आरोपों से बचने के लिए सप्रे द्वारा अंग्रेजों से माफी मांगने के कारण गहरी निराशा हुई और छत्तीसगढ़ में राजनीतिक गति को धक्का लगा। पश्चाताप से अभिभूत होकर, वे कई वर्षों तक रायपुर में एक एकांत, शांत जीवन व्यतीत करते रहे।"
"Who among the following served as the sole proprietor and financier of 'Chhattisgarh Mitra', enabling the publication of the state's first monthly newspaper?","निम्नलिखित में से किसने 'छत्तीसगढ़ मित्र' के एकमात्र मालिक और फाइनेंसर के रूप में कार्य किया, जिससे राज्य के पहले मासिक समाचार पत्र का प्रकाशन संभव हो सका?","Madhav Rao Sapre","माधव राव सप्रे","Ramrao Chincholkar","रामराव चिंचोलकर","Vamanrao Lakhe","वामनराव लाखे","Pt. Ravishankar Shukla","पं. रविशंकर शुक्ल","3","While Madhav Rao Sapre and Ramrao Chincholkar were the editors of 'Chhattisgarh Mitra', it was Vamanrao (Vaman Baliram) Lakhe who acted as the proprietor and provided the crucial financial backing for the magazine.","जबकि माधव राव सप्रे और रामराव चिंचोलकर 'छत्तीसगढ़ मित्र' के संपादक थे, यह वामनराव (वामन बलिराम) लाखे थे जिन्होंने मालिक के रूप में कार्य किया और पत्रिका के लिए महत्वपूर्ण वित्तीय सहायता प्रदान की।"
"In 1899, Pt. Sundarlal Sharma established an organization in Rajim to strictly foster literary and cultural awakening before shifting his focus to active politics. What was its name?","1899 में, पं. सुंदरलाल शर्मा ने सक्रिय राजनीति पर अपना ध्यान केंद्रित करने से पहले राजिम में सख्ती से साहित्यिक और सांस्कृतिक जागृति को बढ़ावा देने के लिए एक संगठन की स्थापना की। उसका क्या नाम था?","Samitra Mandal","समित्र मंडल","Anand Samaj","आनंद समाज","Kavi Samaj","कवि समाज","Kanyakubj Sabha","कान्यकुब्ज सभा","3","Before entering active nationalist politics and founding the Samitra Mandal, Pt. Sundarlal Sharma established the 'Kavi Samaj' in Rajim in 1899 specifically for literary, poetic, and cultural renaissance in the region.","सक्रिय राष्ट्रवादी राजनीति में प्रवेश करने और समित्र मंडल की स्थापना से पहले, पं. सुंदरलाल शर्मा ने विशेष रूप से क्षेत्र में साहित्यिक, काव्य और सांस्कृतिक पुनर्जागरण के लिए 1899 में राजिम में 'कवि समाज' की स्थापना की थी।"
