Quiz Title (English)
SRC, Later Agitations & MP Reorganization Act 2000

Quiz Title (Hindi)
राज्य पुनर्गठन आयोग, बाद के आंदोलन और म.प्र. पुनर्गठन अधिनियम 2000

Quiz Description (English)
This master quiz rigorously tests your knowledge of the later phase of the Chhattisgarh statehood movement (1956–2000). It covers key political organizations, legislative resolutions in the MP Assembly, the precise timeline of the MP Reorganization Act 2000 in Parliament, and the exact geographical statistics of the newly formed state.

Quiz Description (Hindi)
यह मास्टर क्विज छत्तीसगढ़ राज्य निर्माण आंदोलन के बाद के चरण (1956-2000) के आपके ज्ञान का कठोरता से परीक्षण करता है। इसमें प्रमुख राजनीतिक संगठनों, म.प्र. विधानसभा में विधायी प्रस्तावों, संसद में म.प्र. पुनर्गठन अधिनियम 2000 की सटीक समयरेखा और नवगठित राज्य के सटीक भौगोलिक आंकड़ों को शामिल किया गया है।

"Q(EN)","Q(HI)","OptA(EN)","OptA(HI)","OptB(EN)","OptB(HI)","OptC(EN)","OptC(HI)","OptD(EN)","OptD(HI)","Correct(1-4)","Exp(EN)","Exp(HI)"
"On which exact date was the Madhya Pradesh Reorganization Bill, 2000 initially passed by the Lok Sabha?","मध्य प्रदेश पुनर्गठन विधेयक, 2000 को प्रारंभिक रूप से लोकसभा द्वारा किस सटीक तिथि को पारित किया गया था?","25 July 2000","25 जुलाई 2000","31 July 2000","31 जुलाई 2000","3 August 2000","3 अगस्त 2000","9 August 2000","9 अगस्त 2000","2","Following its introduction on 25 July, the Lok Sabha debated and initially passed the Madhya Pradesh Reorganization Bill on 31 July 2000.","25 जुलाई को इसके प्रस्तुत होने के बाद, लोकसभा ने इस पर बहस की और प्रारंभिक रूप से 31 जुलाई 2000 को मध्य प्रदेश पुनर्गठन विधेयक पारित कर दिया।"
"The Rajya Sabha passed the MP Reorganization Bill on 9 August 2000, but with exactly one critical amendment. What was this specific amendment related to?","राज्यसभा ने 9 अगस्त 2000 को म.प्र. पुनर्गठन विधेयक पारित किया, लेकिन ठीक एक महत्वपूर्ण संशोधन के साथ। यह विशिष्ट संशोधन किससे संबंधित था?","The geographic boundary of Bastar division.","बस्तर संभाग की भौगोलिक सीमा।","The allocation of Rajya Sabha seats for Chhattisgarh.","छत्तीसगढ़ के लिए राज्यसभा सीटों का आवंटन।","The division of financial liabilities with MP.","म.प्र. के साथ वित्तीय देनदारियों का विभाजन।","The establishment of the High Court in Bilaspur.","बिलासपुर में उच्च न्यायालय की स्थापना।","2","On 9 August 2000, the Rajya Sabha passed the bill but introduced one amendment specifically regarding the allocation and adjustment of Rajya Sabha seats for the new state of Chhattisgarh.","9 अगस्त 2000 को, राज्यसभा ने विधेयक पारित किया लेकिन विशेष रूप से नए राज्य छत्तीसगढ़ के लिए राज्यसभा सीटों के आवंटन और समायोजन के संबंध में एक संशोधन पेश किया।"
"Because the Rajya Sabha made an amendment to the bill on 9 August 2000, the MP Reorganization Bill had to be re-passed by the Lok Sabha. On what date did the Lok Sabha re-pass the amended bill?","चूंकि राज्यसभा ने 9 अगस्त 2000 को विधेयक में एक संशोधन किया था, इसलिए म.प्र. पुनर्गठन विधेयक को लोकसभा द्वारा फिर से पारित करना पड़ा। लोकसभा ने संशोधित विधेयक को किस तिथि को फिर से पारित किया?","10 August 2000","10 अगस्त 2000","15 August 2000","15 अगस्त 2000","25 August 2000","25 अगस्त 2000","28 August 2000","28 अगस्त 2000","1","Due to the single amendment made by the Rajya Sabha regarding seat allocation, the Lok Sabha had to adopt the amendment and successfully re-passed the bill the very next day, on 10 August 2000.","सीट आवंटन के संबंध में राज्यसभा द्वारा किए गए एकमात्र संशोधन के कारण, लोकसभा को संशोधन अपनाना पड़ा और ठीक अगले दिन, 10 अगस्त 2000 को विधेयक को सफलतापूर्वक फिर से पारित कर दिया।"
"Which President of India signed and gave official assent to the Madhya Pradesh Reorganization Act on 25 August 2000?","25 अगस्त 2000 को भारत के किस राष्ट्रपति ने मध्य प्रदेश पुनर्गठन अधिनियम पर हस्ताक्षर कर आधिकारिक सहमति दी थी?","A.P.J. Abdul Kalam","ए.पी.जे. अब्दुल कलाम","Shankar Dayal Sharma","शंकर दयाल शर्मा","K.R. Narayanan","के.आर. नारायणन","Pranab Mukherjee","प्रणब मुखर्जी","3","The then President of India, K.R. Narayanan, signed the Madhya Pradesh Reorganization Bill on 25 August 2000, officially converting it into an Act of Parliament.","भारत के तत्कालीन राष्ट्रपति के.आर. नारायणन ने 25 अगस्त 2000 को मध्य प्रदेश पुनर्गठन विधेयक पर हस्ताक्षर किए, जिससे यह आधिकारिक तौर पर संसद का एक अधिनियम बन गया।"
"In the official Gazette of India, the Madhya Pradesh Reorganization Act, 2000 was notified under which specific Act Number?","भारत के आधिकारिक राजपत्र (गजट) में, मध्य प्रदेश पुनर्गठन अधिनियम, 2000 को किस विशिष्ट अधिनियम संख्या के तहत अधिसूचित किया गया था?","Act No. 25 of 2000","2000 का अधिनियम संख्या 25","Act No. 26 of 2000","2000 का अधिनियम संख्या 26","Act No. 28 of 2000","2000 का अधिनियम संख्या 28","Act No. 31 of 2000","2000 का अधिनियम संख्या 31","3","Although signed by the President on 25 August, the Madhya Pradesh Reorganization Act, 2000 was officially published in the Gazette of India as Act No. 28 of the year 2000.","यद्यपि राष्ट्रपति द्वारा 25 अगस्त को हस्ताक्षर किए गए थे, लेकिन मध्य प्रदेश पुनर्गठन अधिनियम, 2000 को आधिकारिक तौर पर भारत के राजपत्र में वर्ष 2000 के अधिनियम संख्या 28 के रूप में प्रकाशित किया गया था।"
"At the precise time of its formation on 1 November 2000, the new state of Chhattisgarh was carved out comprising exactly how many Divisions and Districts?","1 नवंबर 2000 को अपने गठन के ठीक समय, नए राज्य छत्तीसगढ़ को कितने संभागों और जिलों को मिलाकर बनाया गया था?","3 Divisions and 16 Districts","3 संभाग और 16 जिले","4 Divisions and 16 Districts","4 संभाग और 16 जिले","3 Divisions and 18 Districts","3 संभाग और 18 जिले","4 Divisions and 18 Districts","4 संभाग और 18 जिले","1","At the time of its formation on 1 November 2000, Chhattisgarh was constituted by taking exactly 3 Divisions (Raipur, Bilaspur, Bastar) and 16 Districts from Madhya Pradesh.","1 नवंबर 2000 को अपने गठन के समय, छत्तीसगढ़ का निर्माण मध्य प्रदेश से ठीक 3 संभाग (रायपुर, बिलासपुर, बस्तर) और 16 जिले लेकर किया गया था।"
"Along with 16 districts, what was the exact number of Tehsils and Development Blocks (Vikas Khand) transferred to Chhattisgarh upon its creation in 2000?","2000 में इसके निर्माण के समय, 16 जिलों के साथ छत्तीसगढ़ को स्थानांतरित की गई तहसीलों और विकासखंडों की सटीक संख्या क्या थी?","85 Tehsils and 146 Blocks","85 तहसील और 146 विकासखंड","96 Tehsils and 146 Blocks","96 तहसील और 146 विकासखंड","96 Tehsils and 150 Blocks","96 तहसील और 150 विकासखंड","100 Tehsils and 146 Blocks","100 तहसील और 146 विकासखंड","2","Official reorganization records confirm that the newly formed state of Chhattisgarh inherited exactly 96 Tehsils and 146 Development Blocks along with its 16 districts.","आधिकारिक पुनर्गठन रिकॉर्ड पुष्टि करते हैं कि नवगठित राज्य छत्तीसगढ़ को अपने 16 जिलों के साथ ठीक 96 तहसीलें और 146 विकासखंड विरासत में मिले थे।"
"Under which Article of the Constitution of India did the Parliament exercise its power to reorganize Madhya Pradesh and create the new state of Chhattisgarh?","भारत के संविधान के किस अनुच्छेद के तहत संसद ने मध्य प्रदेश का पुनर्गठन करने और नए राज्य छत्तीसगढ़ के निर्माण की अपनी शक्ति का प्रयोग किया?","Article 2","अनुच्छेद 2","Article 3","अनुच्छेद 3","Article 4","अनुच्छेद 4","Article 368","अनुच्छेद 368","2","Under Article 3 of the Indian Constitution, the Parliament has the power to form a new state by separation of territory from any state, which was applied for Chhattisgarh.","भारतीय संविधान के अनुच्छेद 3 के तहत, संसद को किसी भी राज्य से क्षेत्र अलग करके एक नया राज्य बनाने की शक्ति प्राप्त है, जिसे छत्तीसगढ़ के लिए लागू किया गया था।"
"The High Court established in Bilaspur upon the formation of Chhattisgarh holds which numerical position among the High Courts of India?","छत्तीसगढ़ के गठन पर बिलासपुर में स्थापित उच्च न्यायालय, भारत के उच्च न्यायालयों के बीच कौन सा संख्यात्मक स्थान रखता है?","18th","18वां","19th","19वां","20th","20वां","21st","21वां","2","Upon the creation of the state, the Chhattisgarh High Court was established in Bilaspur (Bodri, Parsada), and it is officially the 19th High Court established in India.","राज्य के निर्माण के बाद, बिलासपुर (बोदरी, परसदा) में छत्तीसगढ़ उच्च न्यायालय की स्थापना की गई थी, और यह आधिकारिक तौर पर भारत में स्थापित 19वां उच्च न्यायालय है।"
"Consider the following personalities at the time of Chhattisgarh's formation on 1 November 2000:\n\n1. Prime Minister: Atal Bihari Vajpayee\n2. Home Minister: L.K. Advani\n3. MP Chief Minister: Digvijay Singh\n\nWhich of the above is/are correctly matched?","1 नवंबर 2000 को छत्तीसगढ़ के गठन के समय निम्नलिखित हस्तियों पर विचार करें:\n\n1. प्रधानमंत्री: अटल बिहारी वाजपेयी\n2. गृह मंत्री: एल.के. आडवाणी\n3. म.प्र. के मुख्यमंत्री: दिग्विजय सिंह\n\nउपरोक्त में से कौन सा/से सही सुमेलित है/हैं?","1 and 2 only","केवल 1 और 2","2 and 3 only","केवल 2 और 3","1 and 3 only","केवल 1 और 3","1, 2 and 3","1, 2 और 3","4","All three are historically correct. During the passage of the 2000 Act and the formation of the state, A.B. Vajpayee was PM, L.K. Advani was Home Minister, and Digvijay Singh was MP CM.","तीनों ऐतिहासिक रूप से सही हैं। 2000 के अधिनियम के पारित होने और राज्य के गठन के दौरान, ए.बी. वाजपेयी पीएम थे, एल.के. आडवाणी गृह मंत्री थे, और दिग्विजय सिंह म.प्र. के सीएम थे।"
"Arrange the legislative stages of the MP Reorganization Bill 2000 in correct chronological order:\n\n1. Passed in Rajya Sabha.\n2. Introduced in Lok Sabha.\n3. Signed by the President.\n4. Re-passed in Lok Sabha with amendment.\n\nCodes:","म.प्र. पुनर्गठन विधेयक 2000 के विधायी चरणों को सही कालानुक्रमिक क्रम में व्यवस्थित करें:\n\n1. राज्यसभा में पारित।\n2. लोकसभा में प्रस्तुत।\n3. राष्ट्रपति द्वारा हस्ताक्षरित।\n4. संशोधन के साथ लोकसभा में पुनः पारित।\n\nकूट:","2-1-4-3","2-1-4-3","2-4-1-3","2-4-1-3","1-2-4-3","1-2-4-3","2-1-3-4","2-1-3-4","1","Chronology: Introduced in Lok Sabha (25 July), Passed in Rajya Sabha (9 Aug), Re-passed in Lok Sabha with RS amendment (10 Aug), Signed by President (25 Aug). Sequence: 2-1-4-3.","कालानुक्रम: लोकसभा में प्रस्तुत (25 जुलाई), राज्यसभा में पारित (9 अगस्त), राज्यसभा के संशोधन के साथ लोकसभा में पुनः पारित (10 अगस्त), राष्ट्रपति द्वारा हस्ताक्षरित (25 अगस्त)। क्रम: 2-1-4-3।"
"Chhattisgarh was established as the 26th state of the Indian Union on 1 November 2000. Which states were formed as the 27th and 28th states respectively later in the same month?","छत्तीसगढ़ की स्थापना 1 नवंबर 2000 को भारतीय संघ के 26वें राज्य के रूप में हुई थी। उसी महीने के अंत में क्रमशः 27वें और 28वें राज्य के रूप में किन राज्यों का गठन किया गया था?","Jharkhand and Uttarakhand","झारखंड और उत्तराखंड","Uttarakhand and Jharkhand","उत्तराखंड और झारखंड","Telangana and Jharkhand","तेलंगाना और झारखंड","Uttarakhand and Telangana","उत्तराखंड और तेलंगाना","2","In November 2000, three new states were formed: Chhattisgarh (26th) on 1 Nov, Uttarakhand (27th) on 9 Nov, and Jharkhand (28th) on 15 Nov.","नवंबर 2000 में, तीन नए राज्य बनाए गए: 1 नवंबर को छत्तीसगढ़ (26वां), 9 नवंबर को उत्तराखंड (27वां), और 15 नवंबर को झारखंड (28वां)।"
"According to the Madhya Pradesh Reorganization Act 2000, what was the exact allocation of seats for Chhattisgarh in the Lok Sabha and Rajya Sabha respectively?","मध्य प्रदेश पुनर्गठन अधिनियम 2000 के अनुसार, क्रमशः लोकसभा और राज्यसभा में छत्तीसगढ़ के लिए सीटों का सटीक आवंटन क्या था?","11 and 5","11 और 5","90 and 5","90 और 5","11 and 90","11 और 90","5 and 11","5 और 11","1","Under the MP Reorganization Act 2000, the new state of Chhattisgarh was allocated exactly 11 seats in the Lok Sabha and 5 seats in the Rajya Sabha out of the undivided MP quota.","म.प्र. पुनर्गठन अधिनियम 2000 के तहत, नए राज्य छत्तीसगढ़ को अविभाजित म.प्र. के कोटे में से लोकसभा में ठीक 11 सीटें और राज्यसभा में 5 सीटें आवंटित की गई थीं।"
"Which of the following pairs of 'Event and Date' during the final phase of statehood formation is INCORRECTLY matched?","राज्य निर्माण के अंतिम चरण के दौरान 'घटना और तिथि' का निम्नलिखित में से कौन सा युग्म गलत सुमेलित है?","Parliament Gherao - 25 May 1999","संसद घेराव - 25 मई 1999","Passed initially in Lok Sabha - 31 July 2000","लोकसभा में प्रारंभिक रूप से पारित - 31 जुलाई 2000","Introduced in Rajya Sabha - 3 August 2000","राज्यसभा में प्रस्तुत - 3 अगस्त 2000","Signed by President - 28 August 2000","राष्ट्रपति द्वारा हस्ताक्षरित - 28 अगस्त 2000","4","President K.R. Narayanan signed the MP Reorganization Bill on 25 August 2000, not 28 August. (Note: CGPSC once took 28 Aug as an answer, but the Gazette clearly marks 25 Aug for assent).","राष्ट्रपति के.आर. नारायणन ने 25 अगस्त 2000 को म.प्र. पुनर्गठन विधेयक पर हस्ताक्षर किए थे, न कि 28 अगस्त को। (नोट: CGPSC ने एक बार 28 अगस्त को उत्तर के रूप में लिया था, लेकिन राजपत्र स्पष्ट रूप से सहमति के लिए 25 अगस्त को चिह्नित करता है)।"
"Consider the following statements regarding the legislative milestones for Chhattisgarh statehood:\n\n1. A non-official resolution was unanimously passed in the MP Assembly in 1994.\n\n2. Another resolution for statehood was unanimously passed in the MP Assembly on 18 March 1998.\n\nWhich of the statements is/are correct?","छत्तीसगढ़ राज्य निर्माण के लिए विधायी मील के पत्थर के संबंध में निम्नलिखित कथनों पर विचार करें:\n\n1. 1994 में म.प्र. विधानसभा में सर्वसम्मति से एक अशासकीय संकल्प पारित किया गया था।\n\n2. राज्य निर्माण के लिए एक अन्य प्रस्ताव 18 मार्च 1998 को म.प्र. विधानसभा में सर्वसम्मति से पारित किया गया था।\n\nकौन सा/से कथन सही है/हैं?","1 only","केवल 1","2 only","केवल 2","Both 1 and 2","1 और 2 दोनों","Neither 1 nor 2","न तो 1 और न ही 2","3","Both statements are true. Ravindra Choubey's non-official resolution passed in 1994, and later on 18 March 1998, the MP Assembly again unanimously passed a resolution for statehood.","दोनों कथन सत्य हैं। 1994 में रवींद्र चौबे का अशासकीय संकल्प पारित हुआ था, और बाद में 18 मार्च 1998 को, म.प्र. विधानसभा ने फिर से सर्वसम्मति से राज्य निर्माण के लिए एक प्रस्ताव पारित किया।"
